         64        1250  n2 & nume
 103        5.421 -9.007467E+00  9.688278E+00  5.536247E-02
 104        5.480 -8.994991E+00  9.062004E+00  5.558496E-02
 105        5.539 -8.844731E+00  8.513036E+00  5.648956E-02
 106        5.600 -8.620773E+00  8.002134E+00  5.783899E-02
 107        5.661 -8.376245E+00  7.635970E+00  5.943798E-02
 108        5.722 -8.144550E+00  7.288326E+00  6.101397E-02
 109        5.785 -7.938270E+00  6.975525E+00  6.246324E-02
 110        5.848 -7.779804E+00  6.689746E+00  6.354360E-02
 111        5.911 -7.628147E+00  6.394577E+00  6.454003E-02
 112        5.976 -7.437496E+00  6.019303E+00  6.574999E-02
 113        6.041 -7.230570E+00  5.721064E+00  6.729735E-02
 114        6.106 -7.012775E+00  5.468802E+00  6.914935E-02
 115        6.173 -6.792609E+00  5.213794E+00  7.110702E-02
 116        6.240 -6.586392E+00  4.989538E+00  7.307889E-02
 117        6.308 -6.389067E+00  4.785686E+00  7.510143E-02
 118        6.377 -6.189593E+00  4.579615E+00  7.724884E-02
 119        6.446 -6.003469E+00  4.399038E+00  7.941480E-02
 120        6.516 -5.823195E+00  4.230571E+00  8.165968E-02
 121        6.587 -5.640959E+00  4.060269E+00  8.405275E-02
 122        6.659 -5.469511E+00  3.911760E+00  8.651002E-02
 123        6.732 -5.298952E+00  3.766734E+00  8.911724E-02
 124        6.805 -5.126789E+00  3.622720E+00  9.192839E-02
 125        6.879 -4.956320E+00  3.513421E+00  9.519084E-02
 126        6.954 -4.783994E+00  3.402932E+00  9.873144E-02
 127        7.030 -4.641739E+00  3.325239E+00  1.019920E-01
 128        7.106 -4.548068E+00  3.300055E+00  1.045139E-01
 129        7.184 -4.453377E+00  3.274596E+00  1.071686E-01
 130        7.262 -4.392773E+00  3.156652E+00  1.078795E-01
 131        7.341 -4.340928E+00  3.012694E+00  1.079046E-01
 132        7.421 -4.276272E+00  2.871524E+00  1.082281E-01
 133        7.502 -4.175795E+00  2.741302E+00  1.098630E-01
 134        7.583 -4.074224E+00  2.609663E+00  1.114781E-01
 135        7.666 -3.965506E+00  2.494352E+00  1.136533E-01
 136        7.749 -3.854061E+00  2.382326E+00  1.160454E-01
 137        7.834 -3.743238E+00  2.278182E+00  1.186433E-01
 138        7.919 -3.633991E+00  2.186693E+00  1.215672E-01
 139        8.005 -3.524448E+00  2.095142E+00  1.246266E-01
 140        8.092 -3.427466E+00  2.016992E+00  1.275303E-01
 141        8.181 -3.329429E+00  1.937991E+00  1.305844E-01
 142        8.270 -3.233026E+00  1.854681E+00  1.335042E-01
 143        8.360 -3.136334E+00  1.769493E+00  1.364539E-01
 144        8.451 -3.037064E+00  1.694265E+00  1.400880E-01
 145        8.543 -2.935493E+00  1.626951E+00  1.444370E-01
 146        8.636 -2.839746E+00  1.565994E+00  1.489083E-01
 147        8.730 -2.754152E+00  1.515825E+00  1.533758E-01
 148        8.825 -2.668314E+00  1.460861E+00  1.578624E-01
 149        8.921 -2.583505E+00  1.393209E+00  1.617090E-01
 150        9.018 -2.498681E+00  1.330411E+00  1.660233E-01
 151        9.116 -2.416923E+00  1.291523E+00  1.719841E-01
 152        9.216 -2.335647E+00  1.249634E+00  1.780909E-01
 153        9.316 -2.260904E+00  1.193337E+00  1.825863E-01
 154        9.417 -2.184976E+00  1.139493E+00  1.876461E-01
 155        9.520 -2.106413E+00  1.100012E+00  1.947957E-01
 156        9.624 -2.029146E+00  1.060621E+00  2.023177E-01
 157        9.728 -1.958406E+00  1.022580E+00  2.095011E-01
 158        9.834 -1.888296E+00  9.849758E-01  2.171541E-01
 159        9.941 -1.820371E+00  9.487529E-01  2.251493E-01
 160       10.050 -1.752304E+00  9.131372E-01  2.338746E-01
 161       10.159 -1.684206E+00  8.783262E-01  2.434380E-01
 162       10.270 -1.617972E+00  8.490607E-01  2.543059E-01
