         64        1250  n2 & nume
 446      222.527  9.880797E-01  1.062687E-02  1.088356E-02
 447      224.950  9.882329E-01  1.036995E-02  1.061721E-02
 448      227.399  9.883814E-01  1.012850E-02  1.036694E-02
 449      229.876  9.885315E-01  9.884804E-03  1.011448E-02
 450      232.379  9.886755E-01  9.654318E-03  9.875807E-03
 451      234.909  9.888208E-01  9.422160E-03  9.635536E-03
 452      237.467  9.889592E-01  9.202450E-03  9.408255E-03
 453      240.053  9.890987E-01  8.981176E-03  9.179481E-03
 454      242.667  9.892299E-01  8.770617E-03  8.961930E-03
 455      245.310  9.893619E-01  8.558334E-03  8.742715E-03
 456      247.981  9.894912E-01  8.348067E-03  8.525722E-03
 457      250.681  9.896218E-01  8.139093E-03  8.310136E-03
 458      253.411  9.897534E-01  7.938582E-03  8.103282E-03
 459      256.170  9.898843E-01  7.741464E-03  7.900010E-03
 460      258.960  9.900137E-01  7.549860E-03  7.702491E-03
 461      261.780  9.901414E-01  7.362659E-03  7.509590E-03
 462      264.630  9.902685E-01  7.177253E-03  7.318626E-03
 463      267.512  9.903935E-01  7.000106E-03  7.136206E-03
 464      270.425  9.905186E-01  6.824157E-03  6.955097E-03
 465      273.370  9.906405E-01  6.655763E-03  6.781817E-03
 466      276.347  9.907607E-01  6.490198E-03  6.611526E-03
 467      279.356  9.908787E-01  6.328536E-03  6.445321E-03
 468      282.398  9.909927E-01  6.172734E-03  6.285210E-03
 469      285.473  9.911053E-01  6.018558E-03  6.126845E-03
 470      288.581  9.912122E-01  5.869673E-03  5.974002E-03
 471      291.724  9.913155E-01  5.723606E-03  5.824136E-03
 472      294.901  9.914159E-01  5.579642E-03  5.676502E-03
 473      298.112  9.914930E-01  5.442069E-03  5.535689E-03
 474      301.358  9.915703E-01  5.285936E-03  5.376041E-03
 475      304.640  9.916484E-01  5.103759E-03  5.189951E-03
 476      307.957  9.917481E-01  4.930689E-03  5.012959E-03
 477      311.310  9.918532E-01  4.760269E-03  4.838678E-03
 478      314.700  9.919624E-01  4.592984E-03  4.667616E-03
 479      318.127  9.920771E-01  4.431585E-03  4.502561E-03
 480      321.591  9.921944E-01  4.274121E-03  4.341554E-03
 481      325.093  9.923142E-01  4.121093E-03  4.185106E-03
 482      328.633  9.924360E-01  3.976275E-03  4.037052E-03
 483      332.212  9.925587E-01  3.835696E-03  3.893367E-03
 484      335.829  9.926819E-01  3.699235E-03  3.753926E-03
 485      339.486  9.928048E-01  3.568137E-03  3.619996E-03
 486      343.183  9.929270E-01  3.442738E-03  3.491918E-03
 487      346.920  9.930492E-01  3.321101E-03  3.367718E-03
 488      350.698  9.931709E-01  3.203264E-03  3.247433E-03
 489      354.517  9.932908E-01  3.090082E-03  3.131936E-03
 490      358.377  9.934100E-01  2.980772E-03  3.020423E-03
 491      362.280  9.935284E-01  2.874807E-03  2.912355E-03
 492      366.225  9.936460E-01  2.772310E-03  2.807857E-03
 493      370.213  9.937630E-01  2.673252E-03  2.706893E-03
 494      374.244  9.938775E-01  2.578596E-03  2.610445E-03
 495      378.319  9.939906E-01  2.487337E-03  2.517488E-03
 496      382.439  9.941024E-01  2.398177E-03  2.426702E-03
 497      386.603  9.942130E-01  2.311366E-03  2.338339E-03
 498      390.813  9.943228E-01  2.227549E-03  2.253047E-03
 499      395.069  9.944317E-01  2.146732E-03  2.170830E-03
 500      399.371  9.945393E-01  2.069453E-03  2.092232E-03
 501      403.720  9.946450E-01  1.994948E-03  2.016479E-03
 502      408.116  9.947495E-01  1.923086E-03  1.943433E-03
 503      412.560  9.948524E-01  1.853792E-03  1.873019E-03
 504      417.053  9.949536E-01  1.786987E-03  1.805154E-03
 505      421.594  9.950531E-01  1.722533E-03  1.739698E-03
 506      426.185  9.951509E-01  1.660252E-03  1.676467E-03
 507      430.826  9.952477E-01  1.600069E-03  1.615382E-03
 508      435.517  9.953423E-01  1.542098E-03  1.556561E-03
 509      440.259  9.954360E-01  1.486266E-03  1.499923E-03
 510      445.054  9.955270E-01  1.432492E-03  1.445391E-03
 511      449.900  9.956172E-01  1.380424E-03  1.392602E-03
 512      454.799  9.957054E-01  1.329636E-03  1.341128E-03
 513      459.751  9.957926E-01  1.280720E-03  1.291563E-03
 514      464.758  9.958779E-01  1.233626E-03  1.243857E-03
 515      469.819  9.959620E-01  1.188284E-03  1.197937E-03
 516      474.935  9.960449E-01  1.144628E-03  1.153735E-03
 517      480.106  9.961266E-01  1.102634E-03  1.111224E-03
 518      485.334  9.962069E-01  1.062238E-03  1.070342E-03
 519      490.619  9.962850E-01  1.023330E-03  1.030975E-03
 520      495.962  9.963617E-01  9.856913E-04  9.929022E-04
 521      501.363  9.964375E-01  9.494149E-04  9.562148E-04
 522      506.822  9.965115E-01  9.144868E-04  9.209000E-04
 523      512.341  9.965839E-01  8.808529E-04  8.869012E-04
 524      517.920  9.966547E-01  8.482401E-04  8.539432E-04
 525      523.560  9.967251E-01  8.165337E-04  8.219077E-04
 526      529.261  9.967941E-01  7.859540E-04  7.910173E-04
 527      535.024  9.968613E-01  7.565205E-04  7.612915E-04
 528      540.850  9.969276E-01  7.283405E-04  7.328364E-04
 529      546.740  9.969928E-01  7.012049E-04  7.054410E-04
 530      552.693  9.970565E-01  6.750668E-04  6.790581E-04
 531      558.712  9.971188E-01  6.498594E-04  6.536201E-04
 532      564.796  9.971800E-01  6.254347E-04  6.289770E-04
 533      570.946  9.972401E-01  6.020116E-04  6.053481E-04
 534      577.163  9.972989E-01  5.794711E-04  5.826141E-04
 535      583.448  9.973567E-01  5.577481E-04  5.607082E-04
 536      589.801  9.974133E-01  5.368055E-04  5.395933E-04
 537      596.224  9.974693E-01  5.167606E-04  5.193860E-04
 538      602.716  9.975230E-01  4.975992E-04  5.000734E-04
 539      609.280  9.975762E-01  4.788678E-04  4.811976E-04
 540      615.914  9.976282E-01  4.611519E-04  4.633472E-04
 541      622.621  9.976794E-01  4.438868E-04  4.459541E-04
 542      629.401  9.977296E-01  4.272115E-04  4.291579E-04
 543      636.255  9.977784E-01  4.114312E-04  4.132653E-04
 544      643.183  9.978263E-01  3.960856E-04  3.978130E-04
 545      650.187  9.978732E-01  3.811919E-04  3.828185E-04
 546      657.267  9.979193E-01  3.669404E-04  3.684722E-04
 547      664.424  9.979640E-01  3.530997E-04  3.545418E-04
 548      671.659  9.980078E-01  3.396707E-04  3.410281E-04
 549      678.973  9.980509E-01  3.268059E-04  3.280835E-04
 550      686.367  9.980933E-01  3.145374E-04  3.157403E-04
 551      693.841  9.981347E-01  3.026363E-04  3.037684E-04
 552      701.396  9.981753E-01  2.910976E-04  2.921628E-04
 553      709.034  9.982150E-01  2.800034E-04  2.810056E-04
 554      716.755  9.982538E-01  2.694092E-04  2.703526E-04
 555      724.560  9.982919E-01  2.591771E-04  2.600648E-04
 556      732.450  9.983293E-01  2.493051E-04  2.501402E-04
 557      740.425  9.983658E-01  2.397891E-04  2.405747E-04
 558      748.488  9.984013E-01  2.307238E-04  2.314632E-04
 559      756.639  9.984366E-01  2.220072E-04  2.227030E-04
 560      764.878  9.984710E-01  2.136027E-04  2.142574E-04
 561      773.207  9.985045E-01  2.055054E-04  2.061215E-04
 562      781.627  9.985372E-01  1.977065E-04  1.982862E-04
 563      790.138  9.985695E-01  1.901862E-04  1.907315E-04
 564      798.742  9.986005E-01  1.829370E-04  1.834501E-04
 565      807.440  9.986311E-01  1.759646E-04  1.764473E-04
 566      816.232  9.986612E-01  1.692545E-04  1.697086E-04
 567      825.120  9.986904E-01  1.627987E-04  1.632260E-04
 568      834.105  9.987191E-01  1.565684E-04  1.569703E-04
 569      843.188  9.987475E-01  1.505509E-04  1.509288E-04
 570      852.370  9.987748E-01  1.447642E-04  1.451196E-04
 571      861.652  9.988016E-01  1.392028E-04  1.395370E-04
 572      871.034  9.988279E-01  1.338587E-04  1.341730E-04
 573      880.519  9.988544E-01  1.287239E-04  1.290193E-04
 574      890.107  9.988793E-01  1.237905E-04  1.240684E-04
 575      899.800  9.989045E-01  1.190555E-04  1.193167E-04
 576      909.598  9.989281E-01  1.145058E-04  1.147517E-04
 577      919.503  9.989518E-01  1.101318E-04  1.103631E-04
 578      929.516  9.989749E-01  1.059057E-04  1.061232E-04
 579      939.638  9.989982E-01  1.018259E-04  1.020302E-04
 580      949.870  9.990197E-01  9.790435E-05  9.809659E-05
 581      960.213  9.990415E-01  9.413921E-05  9.431994E-05
 582      970.669  9.990633E-01  9.051515E-05  9.068496E-05
 583      981.239  9.990834E-01  8.701591E-05  8.717564E-05
 584      991.924  9.991037E-01  8.365429E-05  8.380446E-05
 585     1002.725  9.991239E-01  8.042440E-05  8.056551E-05
 586     1013.644  9.991432E-01  7.732072E-05  7.745339E-05
 587     1024.682  9.991620E-01  7.433782E-05  7.446257E-05
 588     1035.840  9.991809E-01  7.147068E-05  7.158790E-05
 589     1047.120  9.991994E-01  6.871437E-05  6.882453E-05
 590     1058.522  9.992168E-01  6.606429E-05  6.616790E-05
 591     1070.049  9.992350E-01  6.350153E-05  6.359880E-05
 592     1081.701  9.992515E-01  6.104860E-05  6.114009E-05
 593     1093.480  9.992685E-01  5.868999E-05  5.877594E-05
 594     1105.387  9.992846E-01  5.641711E-05  5.649792E-05
 595     1117.424  9.993007E-01  5.422264E-05  5.429857E-05
 596     1129.592  9.993165E-01  5.211001E-05  5.218132E-05
 597     1141.892  9.993314E-01  5.009010E-05  5.015715E-05
 598     1154.327  9.993472E-01  4.814904E-05  4.821196E-05
 599     1166.896  9.993616E-01  4.628085E-05  4.634000E-05
 600     1179.603  9.993756E-01  4.448241E-05  4.453801E-05
 601     1192.448  9.993897E-01  4.276273E-05  4.281497E-05
 602     1205.433  9.994040E-01  4.110252E-05  4.115155E-05
 603     1218.559  9.994175E-01  3.949917E-05  3.954522E-05
 604     1231.829  9.994307E-01  3.796276E-05  3.800602E-05
 605     1245.242  9.994432E-01  3.648475E-05  3.652542E-05
 606     1258.802  9.994559E-01  3.505521E-05  3.509338E-05
 607     1272.510  9.994683E-01  3.368682E-05  3.372267E-05
 608     1286.366  9.994807E-01  3.237210E-05  3.240575E-05
 609     1300.374  9.994923E-01  3.110566E-05  3.113727E-05
 610     1314.534  9.995046E-01  2.989593E-05  2.992557E-05
 611     1328.849  9.995161E-01  2.872881E-05  2.875663E-05
 612     1343.319  9.995266E-01  2.760772E-05  2.763387E-05
 613     1357.947  9.995383E-01  2.652742E-05  2.655193E-05
 614     1372.734  9.995489E-01  2.549060E-05  2.551362E-05
 615     1387.682  9.995594E-01  2.449033E-05  2.451193E-05
 616     1402.793  9.995700E-01  2.352881E-05  2.354906E-05
 617     1418.068  9.995798E-01  2.260499E-05  2.262399E-05
 618     1433.510  9.995901E-01  2.171912E-05  2.173694E-05
 619     1449.120  9.995995E-01  2.086667E-05  2.088340E-05
 620     1464.900  9.996099E-01  2.005062E-05  2.006627E-05
 621     1480.851  9.996194E-01  1.926078E-05  1.927545E-05
 622     1496.977  9.996282E-01  1.850358E-05  1.851735E-05
 623     1513.278  9.996377E-01  1.777493E-05  1.778782E-05
 624     1529.756  9.996469E-01  1.707055E-05  1.708261E-05
 625     1546.414  9.996558E-01  1.639673E-05  1.640802E-05
 626     1563.253  9.996646E-01  1.574865E-05  1.575922E-05
 627     1580.276  9.996731E-01  1.512567E-05  1.513556E-05
 628     1597.484  9.996818E-01  1.452959E-05  1.453884E-05
 629     1614.880  9.996905E-01  1.395684E-05  1.396549E-05
 630     1632.465  9.996992E-01  1.340653E-05  1.341460E-05
 631     1650.241  9.997081E-01  1.287772E-05  1.288524E-05
 632     1668.211  9.997171E-01  1.237115E-05  1.237816E-05
 633     1686.377  9.997262E-01  1.188462E-05  1.189113E-05
 634     1704.740  9.997354E-01  1.141728E-05  1.142333E-05
 635     1723.303  9.997447E-01  1.096848E-05  1.097408E-05
 636     1742.069  9.997553E-01  1.053726E-05  1.054242E-05
 637     1761.039  9.997666E-01  1.012094E-05  1.012567E-05
 638     1780.215  9.997792E-01  9.721222E-06  9.725517E-06
 639     1799.600  9.997956E-01  9.335053E-06  9.338870E-06
 640     1819.197  9.998217E-01  8.963853E-06  8.967051E-06
 641     1839.007  9.998699E-01  9.822220E-05  9.824777E-05
 642     1859.032  9.998119E-01  9.446446E-05  9.450000E-05
 643     1879.276  9.997984E-01  9.084804E-05  9.088469E-05
 644     1899.740  9.997911E-01  8.736792E-05  8.740442E-05
 645     1920.426  9.997879E-01  8.401976E-05  8.405541E-05
 646     1941.339  9.997859E-01  8.079848E-05  8.083308E-05
 647     1962.478  9.997850E-01  7.769868E-05  7.773210E-05
 648     1983.848  9.997850E-01  7.471562E-05  7.474776E-05
 649     2005.451  9.997860E-01  7.184469E-05  7.187545E-05
 650     2027.289  9.997870E-01  6.908064E-05  6.911008E-05
 651     2049.365  9.997889E-01  6.641972E-05  6.644776E-05
 652     2071.681  9.997902E-01  6.386129E-05  6.388810E-05
 653     2094.240  9.997924E-01  6.139973E-05  6.142523E-05
 654     2117.044  9.997947E-01  5.902999E-05  5.905423E-05
 655     2140.098  9.997970E-01  5.674863E-05  5.677167E-05
 656     2163.402  9.998003E-01  5.455814E-05  5.457993E-05
 657     2186.960  9.998027E-01  5.244875E-05  5.246945E-05
 658     2210.774  9.998050E-01  5.041788E-05  5.043754E-05
 659     2234.848  9.998085E-01  4.846688E-05  4.848545E-05
 660     2259.184  9.998109E-01  4.658745E-05  4.660507E-05
 661     2283.785  9.998134E-01  4.478219E-05  4.479891E-05
 662     2308.654  9.998192E-01  4.304328E-05  4.305886E-05
 663     2333.793  9.998230E-01  4.137214E-05  4.138679E-05
 664     2359.207  9.998268E-01  3.976254E-05  3.977632E-05
 665     2384.897  9.998305E-01  3.821656E-05  3.822952E-05
 666     2410.866  9.998342E-01  3.674962E-05  3.676181E-05
 667     2437.119  9.998377E-01  3.532116E-05  3.533263E-05
 668     2463.658  9.998412E-01  3.394388E-05  3.395466E-05
 669     2490.485  9.998446E-01  3.261523E-05  3.262536E-05
 670     2517.605  9.998479E-01  3.134898E-05  3.135852E-05
 671     2545.020  9.998512E-01  3.011096E-05  3.011993E-05
 672     2572.733  9.998544E-01  2.894816E-05  2.895660E-05
 673     2600.748  9.998575E-01  2.779496E-05  2.780288E-05
 674     2629.069  9.998605E-01  2.672532E-05  2.673278E-05
 675     2657.697  9.998635E-01  2.566837E-05  2.567538E-05
 676     2686.638  9.998665E-01  2.466679E-05  2.467338E-05
 677     2715.893  9.998693E-01  2.369956E-05  2.370575E-05
 678     2745.468  9.998721E-01  2.276026E-05  2.276609E-05
 679     2775.364  9.998749E-01  2.187590E-05  2.188137E-05
 680     2805.585  9.998776E-01  2.100660E-05  2.101175E-05
 681     2836.136  9.998802E-01  2.018551E-05  2.019035E-05
 682     2867.020  9.998828E-01  1.939112E-05  1.939567E-05
 683     2898.240  9.998853E-01  1.861745E-05  1.862172E-05
 684     2929.799  9.998877E-01  1.789190E-05  1.789592E-05
 685     2961.703  9.998901E-01  1.718217E-05  1.718595E-05
 686     2993.953  9.998925E-01  1.650021E-05  1.650376E-05
 687     3026.555  9.998948E-01  1.585281E-05  1.585615E-05
 688     3059.512  9.998970E-01  1.522173E-05  1.522487E-05
 689     3092.828  9.998992E-01  1.461794E-05  1.462089E-05
 690     3126.507  9.999014E-01  1.404244E-05  1.404521E-05
 691     3160.552  9.999035E-01  1.348290E-05  1.348550E-05
 692     3194.969  9.999056E-01  1.294581E-05  1.294825E-05
 693     3229.760  9.999076E-01  1.243560E-05  1.243790E-05
 694     3264.929  9.999096E-01  1.194049E-05  1.194265E-05
 695     3300.482  9.999115E-01  1.146108E-05  1.146311E-05
 696     3336.422  9.999134E-01  1.100923E-05  1.101113E-05
 697     3372.753  9.999152E-01  1.057180E-05  1.057359E-05
 698     3409.480  9.999171E-01  1.014869E-05  1.015037E-05
 699     3446.607  9.999189E-01  9.742500E-06  9.744081E-06
 700     3484.138  9.999206E-01  9.356469E-06  9.357955E-06
 701     3522.078  9.999223E-01  8.983359E-06  8.984756E-06
 702     3560.431  9.999239E-01  8.623218E-06  8.624529E-06
 703     3599.201  9.999256E-01  8.276448E-06  8.277680E-06
 704     3638.394  9.999272E-01  7.947636E-06  7.948794E-06
 705     3678.014  9.999288E-01  7.630368E-06  7.631455E-06
 706     3718.065  9.999303E-01  7.324546E-06  7.325567E-06
 707     3758.552  9.999318E-01  7.030010E-06  7.030969E-06
 708     3799.480  9.999332E-01  6.746769E-06  6.747669E-06
 709     3840.853  9.999347E-01  6.477475E-06  6.478322E-06
 710     3882.677  9.999360E-01  6.218112E-06  6.218907E-06
 711     3924.957  9.999374E-01  5.968480E-06  5.969227E-06
 712     3967.697  9.999388E-01  5.728349E-06  5.729050E-06
 713     4010.902  9.999401E-01  5.497471E-06  5.498130E-06
 714     4054.578  9.999413E-01  5.275582E-06  5.276201E-06
 715     4098.729  9.999426E-01  5.062746E-06  5.063328E-06
 716     4143.362  9.999439E-01  4.859332E-06  4.859878E-06
 717     4188.480  9.999450E-01  4.663774E-06  4.664287E-06
 718     4234.089  9.999462E-01  4.475750E-06  4.476231E-06
 719     4280.196  9.999474E-01  4.294941E-06  4.295393E-06
 720     4326.804  9.999485E-01  4.121196E-06  4.121621E-06
 721     4373.920  9.999496E-01  3.954340E-06  3.954738E-06
 722     4421.549  9.999507E-01  3.794120E-06  3.794494E-06
 723     4469.696  9.999518E-01  3.640294E-06  3.640645E-06
 724     4518.368  9.999528E-01  3.492621E-06  3.492950E-06
 725     4567.570  9.999538E-01  3.350863E-06  3.351173E-06
 726     4617.308  9.999548E-01  3.214791E-06  3.215082E-06
 727     4667.587  9.999558E-01  3.084181E-06  3.084454E-06
 728     4718.414  9.999567E-01  2.958813E-06  2.959069E-06
 729     4769.794  9.999576E-01  2.840668E-06  2.840908E-06
 730     4821.733  9.999585E-01  2.728314E-06  2.728540E-06
 731     4874.239  9.999594E-01  2.616988E-06  2.617201E-06
 732     4927.316  9.999603E-01  2.510130E-06  2.510329E-06
 733     4980.971  9.999611E-01  2.407555E-06  2.407742E-06
 734     5035.210  9.999620E-01  2.309086E-06  2.309261E-06
 735     5090.040  9.999628E-01  2.214550E-06  2.214715E-06
 736     5145.467  9.999636E-01  2.123782E-06  2.123936E-06
 737     5201.497  9.999644E-01  2.036733E-06  2.036878E-06
 738     5258.138  9.999651E-01  1.953474E-06  1.953611E-06
 739     5315.395  9.999659E-01  1.873522E-06  1.873650E-06
 740     5373.276  9.999666E-01  1.796739E-06  1.796858E-06
 741     5431.787  9.999673E-01  1.722987E-06  1.723100E-06
 742     5490.936  9.999681E-01  1.652141E-06  1.652247E-06
 743     5550.728  9.999687E-01  1.584111E-06  1.584210E-06
 744     5611.171  9.999694E-01  1.519185E-06  1.519278E-06
 745     5672.273  9.999700E-01  1.456792E-06  1.456879E-06
 746     5734.040  9.999707E-01  1.396824E-06  1.396906E-06
 747     5796.479  9.999713E-01  1.339180E-06  1.339257E-06
 748     5859.599  9.999719E-01  1.284100E-06  1.284172E-06
 749     5923.406  9.999725E-01  1.231262E-06  1.231330E-06
 750     5987.907  9.999731E-01  1.180446E-06  1.180509E-06
 751     6053.111  9.999737E-01  1.131657E-06  1.131717E-06
 752     6119.025  9.999743E-01  1.085073E-06  1.085129E-06
 753     6185.657  9.999748E-01  1.040246E-06  1.040299E-06
 754     6253.015  9.999753E-01  9.971764E-07  9.972256E-07
 755     6321.105  9.999759E-01  9.560639E-07  9.561101E-07
 756     6389.938  9.999764E-01  9.164791E-07  9.165223E-07
 757     6459.520  9.999769E-01  8.785516E-07  8.785923E-07
 758     6529.859  9.999774E-01  8.422218E-07  8.422599E-07
 759     6600.965  9.999779E-01  8.072385E-07  8.072741E-07
 760     6672.845  9.999784E-01  7.738817E-07  7.739152E-07
 761     6745.507  9.999788E-01  7.417308E-07  7.417622E-07
 762     6818.961  9.999793E-01  7.110185E-07  7.110480E-07
 763     6893.214  9.999797E-01  6.814698E-07  6.814975E-07
 764     6968.276  9.999802E-01  6.532099E-07  6.532358E-07
 765     7044.156  9.999806E-01  6.260352E-07  6.260595E-07
 766     7120.862  9.999810E-01  6.000550E-07  6.000778E-07
 767     7198.403  9.999814E-01  5.750466E-07  5.750679E-07
 768     7276.789  9.999818E-01  5.511778E-07  5.511978E-07
 769     7356.028  9.999822E-01  5.282021E-07  5.282209E-07
 770     7436.130  9.999826E-01  5.062279E-07  5.062455E-07
 771     7517.104  9.999830E-01  4.851419E-07  4.851584E-07
 772     7598.960  9.999833E-01  4.648807E-07  4.648962E-07
 773     7681.707  9.999837E-01  4.455335E-07  4.455480E-07
 774     7765.355  9.999840E-01  4.269415E-07  4.269551E-07
 775     7849.915  9.999844E-01  4.090870E-07  4.090998E-07
 776     7935.395  9.999847E-01  3.920352E-07  3.920472E-07
 777     8021.805  9.999850E-01  3.756616E-07  3.756728E-07
 778     8109.157  9.999853E-01  3.599465E-07  3.599570E-07
 779     8197.460  9.999856E-01  3.448820E-07  3.448919E-07
 780     8286.725  9.999860E-01  3.304709E-07  3.304802E-07
 781     8376.961  9.999863E-01  3.166446E-07  3.166533E-07
 782     8468.180  9.999865E-01  3.033834E-07  3.033915E-07
 783     8560.393  9.999868E-01  2.906671E-07  2.906747E-07
 784     8653.609  9.999871E-01  2.784758E-07  2.784829E-07
 785     8747.841  9.999874E-01  2.667974E-07  2.668041E-07
 786     8843.099  9.999877E-01  2.556118E-07  2.556181E-07
 787     8939.394  9.999880E-01  2.448881E-07  2.448940E-07
 788     9036.737  9.999882E-01  2.346081E-07  2.346137E-07
 789     9135.141  9.999884E-01  2.247543E-07  2.247595E-07
 790     9234.616  9.999887E-01  2.153097E-07  2.153145E-07
 791     9335.175  9.999889E-01  2.062575E-07  2.062620E-07
 792     9436.828  9.999892E-01  1.975816E-07  1.975859E-07
 793     9539.589  9.999894E-01  1.892663E-07  1.892704E-07
 794     9643.468  9.999896E-01  1.812967E-07  1.813005E-07
 795     9748.479  9.999899E-01  1.736579E-07  1.736614E-07
 796     9854.633  9.999900E-01  1.663438E-07  1.663471E-07
 797     9961.942  9.999903E-01  1.593365E-07  1.593396E-07
 798    10070.421  9.999905E-01  1.526200E-07  1.526229E-07
 799    10180.081  9.999907E-01  1.461817E-07  1.461844E-07
 800    10290.935  9.999909E-01  1.400095E-07  1.400121E-07
 801    10402.995  9.999911E-01  1.340955E-07  1.340979E-07
 802    10516.276  9.999913E-01  1.284363E-07  1.284385E-07
 803    10630.791  9.999915E-01  1.230098E-07  1.230119E-07
 804    10746.553  9.999917E-01  1.178055E-07  1.178075E-07
 805    10863.575  9.999918E-01  1.128268E-07  1.128287E-07
 806    10981.872  9.999920E-01  1.080542E-07  1.080560E-07
 807    11101.457  9.999922E-01  1.034766E-07  1.034782E-07
 808    11222.344  9.999924E-01  9.909974E-08  9.910126E-08
 809    11344.547  9.999925E-01  9.489935E-08  9.490078E-08
 810    11468.081  9.999927E-01  9.088028E-08  9.088162E-08
 811    11592.960  9.999928E-01  8.702600E-08  8.702724E-08
 812    11719.199  9.999930E-01  8.333704E-08  8.333821E-08
 813    11846.813  9.999931E-01  7.979894E-08  7.980004E-08
 814    11975.816  9.999933E-01  7.641467E-08  7.641570E-08
 815    12106.225  9.999934E-01  7.316842E-08  7.316938E-08
 816    12238.053  9.999936E-01  7.006148E-08  7.006238E-08
 817    12371.316  9.999937E-01  6.708512E-08  6.708596E-08
 818    12506.031  9.999939E-01  6.423201E-08  6.423280E-08
 819    12642.213  9.999940E-01  6.150087E-08  6.150161E-08
 820    12779.878  9.999941E-01  5.888555E-08  5.888625E-08
 821    12919.042  9.999942E-01  5.637948E-08  5.638014E-08
 822    13059.722  9.999943E-01  5.397860E-08  5.397921E-08
 823    13201.933  9.999945E-01  5.167880E-08  5.167937E-08
 824    13345.692  9.999946E-01  4.947731E-08  4.947785E-08
 825    13491.018  9.999947E-01  4.736898E-08  4.736948E-08
 826    13637.925  9.999948E-01  4.534954E-08  4.535001E-08
 827    13786.433  9.999949E-01  4.341532E-08  4.341576E-08
 828    13936.557  9.999951E-01  4.156282E-08  4.156323E-08
 829    14088.315  9.999952E-01  3.978864E-08  3.978902E-08
 830    14241.728  9.999952E-01  3.808946E-08  3.808983E-08
 831    14396.810  9.999954E-01  3.646209E-08  3.646243E-08
 832    14553.581  9.999955E-01  3.490405E-08  3.490436E-08
 833    14712.060  9.999955E-01  3.341246E-08  3.341275E-08
 834    14872.264  9.999956E-01  3.198390E-08  3.198418E-08
 835    15034.212  9.999957E-01  3.061560E-08  3.061587E-08
 836    15197.924  9.999958E-01  2.930490E-08  2.930515E-08
 837    15363.418  9.999959E-01  2.805088E-08  2.805111E-08
 838    15530.715  9.999960E-01  2.684976E-08  2.684998E-08
 839    15699.833  9.999961E-01  2.569894E-08  2.569915E-08
 840    15870.793  9.999962E-01  2.459826E-08  2.459845E-08
 841    16043.614  9.999962E-01  2.354347E-08  2.354364E-08
 842    16218.317  9.999964E-01  2.253411E-08  2.253427E-08
 843    16394.924  9.999964E-01  2.156714E-08  2.156730E-08
 844    16573.453  9.999965E-01  2.064194E-08  2.064209E-08
 845    16753.926  9.999965E-01  1.975551E-08  1.975565E-08
 846    16936.363  9.999967E-01  1.890738E-08  1.890751E-08
 847    17120.789  9.999967E-01  1.809524E-08  1.809536E-08
 848    17307.223  9.999968E-01  1.731748E-08  1.731759E-08
 849    17495.686  9.999968E-01  1.657302E-08  1.657313E-08
 850    17686.201  9.999969E-01  1.586053E-08  1.586063E-08
 851    17878.791  9.999970E-01  1.517835E-08  1.517844E-08
 852    18073.479  9.999970E-01  1.452524E-08  1.452533E-08
 853    18270.285  9.999971E-01  1.390002E-08  1.390010E-08
 854    18469.236  9.999972E-01  1.330151E-08  1.330159E-08
 855    18670.354  9.999973E-01  1.272860E-08  1.272867E-08
 856    18873.660  9.999973E-01  1.218019E-08  1.218026E-08
 857    19079.182  9.999974E-01  1.165522E-08  1.165528E-08
 858    19286.939  9.999974E-01  1.115269E-08  1.115275E-08
 859    19496.961  9.999974E-01  1.067160E-08  1.067166E-08
 860    19709.270  9.999975E-01  1.021128E-08  1.021133E-08
 861    19923.889  9.999976E-01  9.770682E-09  9.770730E-09
 862    20140.846  9.999976E-01  9.348838E-09  9.348883E-09
 863    20360.166  9.999977E-01  8.945142E-09  8.945183E-09
 864    20581.873  9.999977E-01  0.000000E+00  0.000000E+00
 865    20805.994  9.999978E-01  8.149357E-09  8.149392E-09
 866    21032.557  9.999978E-01  7.797641E-09  7.797675E-09
 867    21261.586  9.999979E-01  7.461105E-09  7.461137E-09
 868    21493.109  9.999979E-01  7.139093E-09  7.139123E-09
 869    21727.154  9.999980E-01  6.830979E-09  6.831006E-09
 870    21963.748  9.999980E-01  6.536162E-09  6.536189E-09
 871    22202.918  9.999980E-01  6.254069E-09  6.254093E-09
 872    22444.691  9.999981E-01  5.984152E-09  5.984175E-09
 873    22689.098  9.999982E-01  5.725884E-09  5.725906E-09
 874    22936.166  9.999982E-01  5.478762E-09  5.478783E-09
 875    23185.924  9.999982E-01  5.242307E-09  5.242325E-09
 876    23438.402  9.999983E-01  5.016055E-09  5.016072E-09
 877    23693.631  9.999983E-01  4.799568E-09  4.799584E-09
 878    23951.639  9.999983E-01  4.592424E-09  4.592439E-09
 879    24212.455  9.999983E-01  4.394221E-09  4.394235E-09
 880    24476.111  9.999984E-01  4.204572E-09  4.204585E-09
 881    24742.639  9.999985E-01  4.023108E-09  4.023121E-09
 882    25012.068  9.999985E-01  3.849476E-09  3.849488E-09
 883    25284.432  9.999985E-01  3.683338E-09  3.683349E-09
 884    25559.762  9.999985E-01  3.524369E-09  3.524380E-09
 885    25838.090  9.999986E-01  3.372262E-09  3.372271E-09
 886    26119.449  9.999986E-01  3.226719E-09  3.226728E-09
