    1       0.000       0.000       0.000
    2       2.000       0.000       0.000
    3       4.000       0.000       0.000
    4       6.000       0.000       0.000
    5       8.000       0.000       0.000
    6      10.000      84.000       9.165
    7      12.000     266.000      16.310
    8      14.000     532.000      23.065
    9      16.000     767.000      27.695
   10      18.000    1117.000      33.422
   11      20.000    1604.000      40.050
   12      22.000    1877.000      43.324
   13      24.000    2166.000      46.540
   14      26.000    2408.000      49.071
   15      28.000    2564.000      50.636
   16      30.000    2589.000      50.882
   17      32.000    2534.000      50.339
   18      34.000    2556.000      50.557
   19      36.000    2456.000      49.558
   20      38.000    2403.000      49.020
   21      40.000    2172.000      46.605
   22      42.000    2006.000      44.788
   23      44.000    1870.000      43.243
   24      46.000    1645.000      40.559
   25      48.000    1473.000      38.380
   26      50.000    1435.000      37.881
   27      52.000    1291.000      35.930
   28      54.000    1143.000      33.808
   29      56.000    1054.000      32.465
   30      58.000     945.000      30.741
   31      60.000     839.000      28.965
   32      62.000     739.000      27.185
   33      64.000     719.000      26.814
   34      66.000     643.000      25.357
   35      68.000     536.000      23.152
   36      70.000     513.000      22.650
   37      72.000     445.000      21.095
   38      74.000     441.000      21.000
   39      76.000     395.000      19.875
   40      78.000     399.000      19.975
   41      80.000     343.000      18.520
   42      82.000     308.000      17.550
   43      84.000     284.000      16.852
   44      86.000     280.000      16.733
   45      88.000     224.000      14.967
   46      90.000     245.000      15.652
   47      92.000     234.000      15.297
   48      94.000     211.000      14.526
   49      96.000     164.000      12.806
   50      98.000     163.000      12.767
   51     100.000     128.000      11.314
   52     102.000     157.000      12.530
   53     104.000     175.000      13.229
   54     106.000     128.000      11.314
   55     108.000     132.000      11.489
   56     110.000     142.000      11.916
   57     112.000     124.000      11.136
   58     114.000     124.000      11.136
   59     116.000      93.000       9.644
   60     118.000      97.000       9.849
   61     120.000      92.000       9.592
   62     122.000      83.000       9.110
   63     124.000      90.000       9.487
   64     126.000      79.000       8.888
   65     128.000      56.000       7.483
   66     130.000      70.000       8.367
   67     132.000      54.000       7.348
   68     134.000      62.000       7.874
   69     136.000      66.000       8.124
   70     138.000      55.000       7.416
   71     140.000      68.000       8.246
   72     142.000      64.000       8.000
   73     144.000      65.000       8.062
   74     146.000      50.000       7.071
   75     148.000      49.000       7.000
   76     150.000      41.000       6.403
   77     152.000      44.000       6.633
   78     154.000      34.000       5.831
   79     156.000      39.000       6.245
   80     158.000      44.000       6.633
