  351  0.7953E+02   0.717  0.1528E-05  0.2158E-04  0.1432E-02
  353  0.8127E+02   0.732  0.1788E-05  0.2435E-04  0.1653E-02
  355  0.8305E+02   0.748  0.2064E-05  0.2766E-04  0.1923E-02
  357  0.8487E+02   0.765  0.2316E-05  0.3154E-04  0.2247E-02
  359  0.8673E+02   0.781  0.2519E-05  0.3594E-04  0.2623E-02
  361  0.8863E+02   0.798  0.2685E-05  0.4081E-04  0.3047E-02
  363  0.9057E+02   0.816  0.2864E-05  0.4610E-04  0.3519E-02
  365  0.9255E+02   0.834  0.3116E-05  0.5189E-04  0.4047E-02
  367  0.9458E+02   0.852  0.3490E-05  0.5838E-04  0.4650E-02
  369  0.9665E+02   0.871  0.3998E-05  0.6585E-04  0.5361E-02
  371  0.9877E+02   0.890  0.4604E-05  0.7463E-04  0.6214E-02
  373  0.1009E+03   0.909  0.5225E-05  0.8493E-04  0.7237E-02
  375  0.1031E+03   0.929  0.5784E-05  0.9680E-04  0.8442E-02
  377  0.1054E+03   0.950  0.6276E-05  0.1101E-03  0.9827E-02
  379  0.1077E+03   0.970  0.6785E-05  0.1249E-03  0.1139E-01
  381  0.1101E+03   0.992  0.7444E-05  0.1413E-03  0.1316E-01
  383  0.1125E+03   1.013  0.8345E-05  0.1597E-03  0.1521E-01
  385  0.1149E+03   1.035  0.9472E-05  0.1809E-03  0.1761E-01
  387  0.1175E+03   1.058  0.1070E-04  0.2056E-03  0.2045E-01
  389  0.1200E+03   1.081  0.1188E-04  0.2339E-03  0.2379E-01
  391  0.1227E+03   1.105  0.1298E-04  0.2658E-03  0.2765E-01
  393  0.1253E+03   1.129  0.1415E-04  0.3015E-03  0.3205E-01
  395  0.1281E+03   1.154  0.1560E-04  0.3412E-03  0.3706E-01
  397  0.1309E+03   1.179  0.1743E-04  0.3862E-03  0.4285E-01
  399  0.1338E+03   1.205  0.1954E-04  0.4376E-03  0.4962E-01
  401  0.1367E+03   1.231  0.2167E-04  0.4965E-03  0.5753E-01
  403  0.1397E+03   1.258  0.2373E-04  0.5629E-03  0.6666E-01
  405  0.1427E+03   1.286  0.2589E-04  0.6370E-03  0.7708E-01
  407  0.1459E+03   1.314  0.2847E-04  0.7199E-03  0.8897E-01
  409  0.1491E+03   1.343  0.3154E-04  0.8132E-03  0.1027E+00
  411  0.1523E+03   1.372  0.3487E-04  0.9189E-03  0.1185E+00
  413  0.1557E+03   1.402  0.3820E-04  0.1038E-02  0.1367E+00
  415  0.1591E+03   1.433  0.4158E-04  0.1171E-02  0.1576E+00
  417  0.1625E+03   1.464  0.4537E-04  0.1319E-02  0.1812E+00
  419  0.1661E+03   1.496  0.4974E-04  0.1484E-02  0.2083E+00
  421  0.1697E+03   1.529  0.5445E-04  0.1670E-02  0.2392E+00
  423  0.1735E+03   1.563  0.5918E-04  0.1876E-02  0.2745E+00
  425  0.1773E+03   1.597  0.6407E-04  0.2106E-02  0.3145E+00
  427  0.1811E+03   1.632  0.6947E-04  0.2360E-02  0.3597E+00
  429  0.1851E+03   1.668  0.7538E-04  0.2641E-02  0.4110E+00
  431  0.1892E+03   1.704  0.8149E-04  0.2953E-02  0.4690E+00
  433  0.1933E+03   1.741  0.8767E-04  0.3297E-02  0.5344E+00
  435  0.1975E+03   1.780  0.9423E-04  0.3674E-02  0.6079E+00
  437  0.2019E+03   1.819  0.1013E-03  0.4090E-02  0.6904E+00
  439  0.2063E+03   1.858  0.1085E-03  0.4545E-02  0.7829E+00
  441  0.2108E+03   1.899  0.1159E-03  0.5044E-02  0.8863E+00
  443  0.2154E+03   1.941  0.1235E-03  0.5587E-02  0.1001E+01
  445  0.2201E+03   1.983  0.1315E-03  0.6179E-02  0.1130E+01
  447  0.2249E+03   2.027  0.1396E-03  0.6823E-02  0.1272E+01
  449  0.2299E+03   2.071  0.1478E-03  0.7521E-02  0.1430E+01
  451  0.2349E+03   2.116  0.1563E-03  0.8275E-02  0.1604E+01
  453  0.2401E+03   2.163  0.1649E-03  0.9090E-02  0.1797E+01
  455  0.2453E+03   2.210  0.1736E-03  0.9968E-02  0.2009E+01
  457  0.2507E+03   2.258  0.1824E-03  0.1091E-01  0.2242E+01
  459  0.2562E+03   2.308  0.1915E-03  0.1193E-01  0.2497E+01
  461  0.2618E+03   2.358  0.2006E-03  0.1301E-01  0.2777E+01
  463  0.2675E+03   2.410  0.2099E-03  0.1418E-01  0.3084E+01
  465  0.2734E+03   2.463  0.2194E-03  0.1542E-01  0.3418E+01
  467  0.2794E+03   2.517  0.2290E-03  0.1675E-01  0.3783E+01
  469  0.2855E+03   2.572  0.2390E-03  0.1816E-01  0.4181E+01
  471  0.2917E+03   2.628  0.2492E-03  0.1967E-01  0.4614E+01
