  757  0.6460E+04  58.194  0.9613E-04  0.7422E+00  0.3197E+04
  759  0.6601E+04  59.468  0.8974E-04  0.7555E+00  0.3284E+04
  762  0.6819E+04  61.432  0.8071E-04  0.7744E+00  0.3410E+04
  764  0.6968E+04  62.777  0.7506E-04  0.7863E+00  0.3491E+04
  766  0.7121E+04  64.152  0.6971E-04  0.7975E+00  0.3570E+04
  768  0.7277E+04  65.557  0.6465E-04  0.8082E+00  0.3647E+04
  770  0.7436E+04  66.992  0.5988E-04  0.8183E+00  0.3721E+04
  772  0.7599E+04  68.459  0.5539E-04  0.8278E+00  0.3792E+04
  774  0.7765E+04  69.958  0.5118E-04  0.8369E+00  0.3861E+04
  776  0.7935E+04  71.490  0.4725E-04  0.8454E+00  0.3928E+04
  778  0.8109E+04  73.055  0.4358E-04  0.8535E+00  0.3992E+04
  780  0.8287E+04  74.655  0.4017E-04  0.8610E+00  0.4054E+04
  782  0.8468E+04  76.290  0.3700E-04  0.8682E+00  0.4113E+04
  784  0.8654E+04  77.960  0.3407E-04  0.8749E+00  0.4170E+04
  786  0.8843E+04  79.668  0.3135E-04  0.8812E+00  0.4225E+04
  788  0.9037E+04  81.412  0.2884E-04  0.8872E+00  0.4278E+04
  790  0.9235E+04  83.195  0.2653E-04  0.8928E+00  0.4329E+04
  792  0.9437E+04  85.016  0.2439E-04  0.8980E+00  0.4378E+04
  794  0.9643E+04  86.878  0.2243E-04  0.9030E+00  0.4425E+04
  796  0.9855E+04  88.780  0.2063E-04  0.9076E+00  0.4470E+04
  798  0.1007E+05  90.725  0.1897E-04  0.9120E+00  0.4513E+04
  800  0.1029E+05  92.711  0.1745E-04  0.9161E+00  0.4554E+04
  802  0.1052E+05  94.741  0.1606E-04  0.9199E+00  0.4594E+04
  804  0.1075E+05  96.816  0.1478E-04  0.9235E+00  0.4633E+04
  806  0.1098E+05  98.936  0.1361E-04  0.9269E+00  0.4669E+04
  808  0.1122E+05 101.102  0.1254E-04  0.9301E+00  0.4705E+04
  810  0.1147E+05 103.316  0.1156E-04  0.9332E+00  0.4739E+04
  812  0.1172E+05 105.578  0.1067E-04  0.9360E+00  0.4772E+04
  814  0.1198E+05 107.890  0.9847E-05  0.9387E+00  0.4803E+04
  816  0.1224E+05 110.253  0.9096E-05  0.9412E+00  0.4834E+04
  818  0.1251E+05 112.667  0.8409E-05  0.9436E+00  0.4863E+04
  820  0.1278E+05 115.134  0.7779E-05  0.9459E+00  0.4892E+04
  822  0.1306E+05 117.655  0.7203E-05  0.9480E+00  0.4919E+04
  824  0.1335E+05 120.231  0.6674E-05  0.9500E+00  0.4946E+04
  826  0.1364E+05 122.864  0.6190E-05  0.9519E+00  0.4971E+04
  828  0.1394E+05 125.555  0.5745E-05  0.9538E+00  0.4996E+04
  830  0.1424E+05 128.304  0.5337E-05  0.9555E+00  0.5020E+04
  832  0.1455E+05 131.113  0.4962E-05  0.9571E+00  0.5044E+04
  834  0.1487E+05 133.984  0.4617E-05  0.9587E+00  0.5066E+04
  836  0.1520E+05 136.918  0.4300E-05  0.9601E+00  0.5088E+04
  838  0.1553E+05 139.916  0.4007E-05  0.9615E+00  0.5110E+04
  840  0.1587E+05 142.980  0.3738E-05  0.9629E+00  0.5131E+04
  842  0.1622E+05 146.111  0.3489E-05  0.9642E+00  0.5151E+04
  844  0.1657E+05 149.310  0.3260E-05  0.9654E+00  0.5171E+04
  846  0.1694E+05 152.580  0.3047E-05  0.9665E+00  0.5190E+04
  848  0.1731E+05 155.921  0.2851E-05  0.9677E+00  0.5209E+04
  850  0.1769E+05 159.335  0.2669E-05  0.9687E+00  0.5228E+04
  852  0.1807E+05 162.824  0.2501E-05  0.9697E+00  0.5246E+04
  854  0.1847E+05 166.390  0.2345E-05  0.9707E+00  0.5264E+04
  856  0.1887E+05 170.033  0.2200E-05  0.9716E+00  0.5281E+04
  858  0.1929E+05 173.756  0.2065E-05  0.9725E+00  0.5298E+04
  860  0.1971E+05 177.561  0.1939E-05  0.9734E+00  0.5315E+04
  862  0.2014E+05 181.449  0.1823E-05  0.9742E+00  0.5331E+04
  864  0.2058E+05 185.422  0.1714E-05  0.9750E+00  0.5347E+04
  866  0.2103E+05 189.482  0.1613E-05  0.9758E+00  0.5363E+04
  868  0.2149E+05 193.632  0.1518E-05  0.9765E+00  0.5378E+04
  870  0.2196E+05 197.872  0.1430E-05  0.9772E+00  0.5393E+04
  872  0.2244E+05 202.204  0.1347E-05  0.9779E+00  0.5408E+04
  874  0.2294E+05 206.632  0.1270E-05  0.9785E+00  0.5423E+04
  876  0.2344E+05 211.157  0.1198E-05  0.9792E+00  0.5438E+04
  878  0.2395E+05 215.781  0.1130E-05  0.9798E+00  0.5452E+04
  880  0.2448E+05 220.506  0.1067E-05  0.9804E+00  0.5466E+04
  882  0.2501E+05 225.334  0.1008E-05  0.9809E+00  0.5480E+04
  884  0.2556E+05 230.268  0.9521E-06  0.9815E+00  0.5493E+04
  886  0.2612E+05 235.310  0.8998E-06  0.9820E+00  0.5507E+04
  888  0.2669E+05 240.463  0.8508E-06  0.9825E+00  0.5520E+04
  890  0.2728E+05 245.728  0.8046E-06  0.9830E+00  0.5533E+04
  892  0.2787E+05 251.109  0.7613E-06  0.9835E+00  0.5546E+04
  894  0.2848E+05 256.608  0.7205E-06  0.9839E+00  0.5559E+04
  896  0.2911E+05 262.227  0.6822E-06  0.9844E+00  0.5572E+04
  898  0.2974E+05 267.969  0.6460E-06  0.9848E+00  0.5585E+04
  900  0.3040E+05 273.837  0.6120E-06  0.9852E+00  0.5597E+04
  902  0.3106E+05 279.833  0.5799E-06  0.9856E+00  0.5609E+04
  904  0.3174E+05 285.960  0.5497E-06  0.9860E+00  0.5621E+04
  906  0.3244E+05 292.222  0.5211E-06  0.9864E+00  0.5633E+04
