 1095  0.2512E+062263.042  0.2163E-06  0.9687E+00  0.9231E+05
 1097  0.2567E+062312.597  0.2025E-06  0.9699E+00  0.9260E+05
 1099  0.2623E+062363.236  0.1897E-06  0.9710E+00  0.9289E+05
 1101  0.2681E+062414.984  0.1778E-06  0.9721E+00  0.9317E+05
 1103  0.2739E+062467.865  0.1668E-06  0.9731E+00  0.9345E+05
 1105  0.2799E+062521.905  0.1565E-06  0.9741E+00  0.9372E+05
 1107  0.2861E+062577.127  0.1470E-06  0.9750E+00  0.9399E+05
 1109  0.2923E+062633.559  0.1381E-06  0.9759E+00  0.9425E+05
 1111  0.2987E+062691.226  0.1298E-06  0.9768E+00  0.9450E+05
 1113  0.3053E+062750.156  0.1221E-06  0.9777E+00  0.9475E+05
 1115  0.3120E+062810.377  0.1148E-06  0.9785E+00  0.9500E+05
 1117  0.3188E+062871.917  0.1081E-06  0.9792E+00  0.9524E+05
 1119  0.3258E+062934.803  0.1018E-06  0.9800E+00  0.9548E+05
 1121  0.3329E+062999.068  0.9594E-07  0.9807E+00  0.9572E+05
 1123  0.3402E+063064.739  0.9043E-07  0.9814E+00  0.9595E+05
 1125  0.3476E+063131.847  0.8528E-07  0.9820E+00  0.9617E+05
 1127  0.3552E+063200.426  0.8045E-07  0.9827E+00  0.9640E+05
 1129  0.3630E+063270.506  0.7593E-07  0.9833E+00  0.9662E+05
 1131  0.3710E+063342.121  0.7168E-07  0.9839E+00  0.9683E+05
 1133  0.3791E+063415.304  0.6770E-07  0.9845E+00  0.9705E+05
 1135  0.3874E+063490.090  0.6396E-07  0.9850E+00  0.9726E+05
 1137  0.3959E+063566.512  0.6045E-07  0.9856E+00  0.9747E+05
 1139  0.4046E+063644.609  0.5715E-07  0.9861E+00  0.9767E+05
 1141  0.4134E+063724.415  0.5405E-07  0.9866E+00  0.9788E+05
 1143  0.4225E+063805.969  0.5113E-07  0.9871E+00  0.9808E+05

