  496  0.3824E+03   3.445  0.8550E-06  0.3277E-04  0.1133E-01
  498  0.3908E+03   3.521  0.1013E-05  0.4025E-04  0.1421E-01
  500  0.3994E+03   3.598  0.1196E-05  0.4930E-04  0.1776E-01
  502  0.4081E+03   3.677  0.1408E-05  0.6021E-04  0.2215E-01
  504  0.4171E+03   3.757  0.1653E-05  0.7332E-04  0.2753E-01
  506  0.4262E+03   3.840  0.1933E-05  0.8904E-04  0.3412E-01
  508  0.4355E+03   3.924  0.2254E-05  0.1078E-03  0.4216E-01
  510  0.4451E+03   4.009  0.2621E-05  0.1302E-03  0.5195E-01
  512  0.4548E+03   4.097  0.3038E-05  0.1567E-03  0.6383E-01
  514  0.4648E+03   4.187  0.3512E-05  0.1881E-03  0.7819E-01
  516  0.4749E+03   4.279  0.4050E-05  0.2252E-03  0.9552E-01
  518  0.4853E+03   4.372  0.4657E-05  0.2688E-03  0.1164E+00
  520  0.4960E+03   4.468  0.5342E-05  0.3201E-03  0.1414E+00
  522  0.5068E+03   4.566  0.6114E-05  0.3802E-03  0.1714E+00
  524  0.5179E+03   4.666  0.6982E-05  0.4504E-03  0.2071E+00
  526  0.5293E+03   4.768  0.7956E-05  0.5322E-03  0.2498E+00
  528  0.5409E+03   4.873  0.9047E-05  0.6275E-03  0.3005E+00
  530  0.5527E+03   4.979  0.1027E-04  0.7382E-03  0.3607E+00
  532  0.5648E+03   5.088  0.1163E-04  0.8665E-03  0.4320E+00
  534  0.5772E+03   5.200  0.1315E-04  0.1015E-02  0.5163E+00
  536  0.5898E+03   5.314  0.1484E-04  0.1186E-02  0.6158E+00
  538  0.6027E+03   5.430  0.1671E-04  0.1384E-02  0.7330E+00
  540  0.6159E+03   5.549  0.1879E-04  0.1611E-02  0.8708E+00
  542  0.6294E+03   5.670  0.2109E-04  0.1872E-02  0.1032E+01
  544  0.6432E+03   5.794  0.2362E-04  0.2171E-02  0.1222E+01
  546  0.6573E+03   5.921  0.2641E-04  0.2514E-02  0.1443E+01
  548  0.6717E+03   6.051  0.2948E-04  0.2905E-02  0.1702E+01
  550  0.6864E+03   6.183  0.3284E-04  0.3350E-02  0.2003E+01
  552  0.7014E+03   6.319  0.3652E-04  0.3858E-02  0.2353E+01
