 233       22.16    9.31280
 234       22.40    8.86304
 235       22.64    8.46503
 236       22.89    8.10347
 237       23.14    7.77561
 238       23.39    7.47472
 239       23.64    7.19944
 240       23.90    6.94328
 241       24.16    6.70893
 242       24.43    6.48695
 243       24.69    6.28495
 244       24.96    6.08950
 245       25.23    5.91056
 246       25.51    5.73431
 247       25.78    5.61034
 248       26.07    5.49009
 249       26.35    5.38532
 250       26.64    5.28684
 251       26.93    5.19558
 252       27.22    5.11329
 253       27.52    5.03407
 254       27.82    4.96434
 255       28.12    4.89739
 256       28.42    4.83526
 257       28.73    4.77823
 258       29.05    4.72342
 259       29.36    4.67353
 260       29.68    4.62514
 261       30.01    4.57796
 262       30.33    4.53998
 263       30.66    4.50160
 264       31.00    4.46279
 265       31.34    4.42972
 266       31.68    4.39634
 267       32.02    4.36295
 268       32.37    4.33452
 269       32.72    4.30578
 270       33.08    4.27771
 271       33.44    4.25283
 272       33.80    4.22767
 273       34.17    4.20389
 274       34.54    4.18177
 275       34.92    4.15941
 276       35.30    4.13907
 277       35.68    4.11911
 278       36.07    4.09938
 279       36.47    4.08135
 280       36.86    4.06312
 281       37.26    4.04595
 282       37.67    4.02925
 283       38.08    4.01268
 284       38.49    3.99722
 285       38.91    3.98159
 286       39.34    3.96683
 287       39.77    3.95218
 288       40.20    3.93787
 289       40.64    3.92401
 290       41.08    3.91016
 291       41.53    3.89692
 292       41.98    3.88353
 293       42.44    3.87072
 294       42.90    3.85781
 295       43.36    3.84527
 296       43.84    3.83273
 297       44.31    3.82044
 298       44.80    3.80820
 299       45.28    3.79611
 300       45.78    3.78409
 301       46.28    3.77217
 302       46.78    3.76029
 303       47.29    3.74850
 304       47.80    3.73675
 305       48.33    3.72505
 306       48.85    3.71335
 307       49.38    3.70173
 308       49.92    3.69006
 309       50.46    3.67848
 310       51.01    3.66683
 311       51.57    3.65526
 312       52.13    3.64362
 313       52.70    3.63201
 314       53.27    3.62036
 315       53.85    3.60869
 316       54.44    3.59703
 317       55.03    3.58528
 318       55.63    3.57360
 319       56.24    3.56184
 320       56.85    3.55006
 321       57.47    3.53826
 322       58.09    3.52641
 323       58.73    3.51455
 324       59.37    3.50267
 325       60.01    3.49073
 326       60.67    3.47878
 327       61.33    3.46677
 328       62.00    3.45471
 329       62.67    3.44267
 330       63.35    3.43058
 331       64.04    3.41843
 332       64.74    3.40627
 333       65.44    3.39406
 334       66.16    3.38180
 335       66.88    3.36954
 336       67.61    3.35729
 337       68.34    3.34499
 338       69.09    3.33262
 339       69.84    3.32026
 340       70.60    3.30784
 341       71.37    3.29541
 342       72.15    3.28297
 343       72.93    3.27048
 344       73.73    3.25800
 345       74.53    3.24551
 346       75.34    3.23299
 347       76.16    3.22043
 348       76.99    3.20783
 349       77.83    3.19527
 350       78.68    3.18265
 351       79.53    3.17001
 352       80.40    3.15737
 353       81.27    3.14472
 354       82.16    3.13204
 355       83.05    3.11931
 356       83.96    3.10654
 357       84.87    3.09375
 358       85.80    3.08087
 359       86.73    3.06800
 360       87.67    3.05511
 361       88.63    3.04210
 362       89.59    3.02900
 363       90.57    3.01578
 364       91.56    3.00246
 365       92.55    2.98895
 366       93.56    2.97514
 367       94.58    2.96099
 368       95.61    2.94627
 369       96.65    2.93060
 370       97.70    2.91154
 371       98.77    2.89272
 372       99.84    2.19483
 373      100.93    2.33233
 374      102.03    2.49526
 375      103.14    2.66002
 376      104.26    2.82663
 377      105.40    2.99509
 378      106.55    3.16543
 379      107.71    3.33767
 380      108.88    3.51183
 381      110.06    3.69494
 382      111.26    3.88455
 383      112.47    4.05746
 384      113.70    4.20442
 385      114.94    4.32485
 386      116.19    4.42727
 387      117.45    4.51871
 388      118.73    4.60413
 389      120.03    4.68720
 390      121.33    4.77039
 391      122.65    4.85600
 392      123.99    4.94351
 393      125.34    5.03477
 394      126.71    5.12902
 395      128.09    5.22692
 396      129.48    5.32773
 397      130.89    5.43148
 398      132.32    5.53745
 399      133.76    5.64531
 400      135.21    5.75465
 401      136.68    5.86423
 402      138.17    5.97484
 403      139.68    6.08359
 404      141.20    6.19260
 405      142.74    6.29923
 406      144.29    6.40438
 407      145.86    6.50737
 408      147.45    6.60683
 409      149.06    6.81681
 410      150.68    7.08085
 411      152.32    7.34539
 412      153.98    7.60816
 413      155.66    7.86915
 414      157.35    8.13045
 415      159.06    8.26335
 416      160.80    8.36784
 417      162.55    8.47071
 418      164.32    8.56995
 419      166.11    8.66337
 420      167.91    8.75486
 421      169.74    8.84378
 422      171.59    8.93226
 423      173.46    9.02137
 424      175.35    9.10848
